step,train_loss
50,2.9191888904571535
100,2.758060235977173
150,2.6905540132522585
200,2.66655837059021
250,2.643133673667908
300,2.6265215826034547
350,2.6297241401672364
400,2.618098440170288
450,2.6134832763671874
500,2.6044410133361815
550,2.6116944217681883
600,2.600781044960022
650,2.595839409828186
700,2.5989263916015624
750,2.5981368446350097
800,2.5918588495254515
850,2.589105405807495
900,2.5872162485122683
950,2.589551410675049
1000,2.5846671438217164
1050,2.58368399143219
1100,2.5821578311920166
1150,2.5884257125854493
1200,2.580262327194214
1250,2.578412790298462
1300,2.580445203781128
1350,2.5790117454528807
1400,2.579783225059509
1450,2.581141891479492
1500,2.5766765832901
1550,2.5783959007263184
1600,2.581375393867493
1650,2.575503945350647
1700,2.5744013500213625
1750,2.573952555656433
1800,2.5713662815093996
1850,2.5677146768569945
1900,2.570404095649719
1950,2.5690734577178955
2000,2.57347626209259
2050,2.571650838851929
2100,2.5667915201187133
2150,2.571243209838867
2200,2.5695973300933836
2250,2.5673398399353027
2300,2.563774881362915
2350,2.5596151113510133
2400,2.563255033493042
2450,2.56682213306427
2500,2.5641115140914916
2550,2.560406413078308
2600,2.564073143005371
2650,2.559259123802185
2700,2.559047985076904
2750,2.5625415802001954
2800,2.561236300468445
2850,2.5597892141342165
2900,2.5678127717971804
2950,2.5545423316955564
3000,2.557902765274048
3050,2.5673062229156494
3100,2.5623317337036133
3150,2.555966672897339
3200,2.5613772678375244
3250,2.5578343296051025
3300,2.5541581821441652
3350,2.5626530694961547
3400,2.555106201171875
3450,2.5541895627975464
3500,2.5537269735336303
3550,2.5505012702941894
3600,2.5568512725830077
3650,2.553179621696472
3700,2.548235602378845
3750,2.5493404054641724
3800,2.5500940465927124
3850,2.543605937957764
3900,2.542982397079468
3950,2.542170672416687
4000,2.545578327178955
4050,2.541614031791687
4100,2.536411690711975
4150,2.5479842042922973
4200,2.5433661699295045
4250,2.535577359199524
4300,2.540685977935791
4350,2.534577627182007
4400,2.543781027793884
4450,2.5440223026275635
4500,2.5377000761032105
4550,2.5385070133209227
4600,2.5386755514144896
4650,2.547122554779053
4700,2.536399579048157
4750,2.5452779960632324
4800,2.5397941637039185
4850,2.5412465143203735
4900,2.541245632171631
4950,2.537092366218567
5000,2.5407041358947753
5050,2.535732069015503
5100,2.5398491859436034
5150,2.540631537437439
5200,2.5417195749282837
5250,2.5442010354995728
5300,2.540775861740112
5350,2.543933000564575
5400,2.543507227897644
5450,2.5448286294937135
5500,2.5421972942352293
5550,2.544307532310486
5600,2.5422083568572997
5650,2.540905685424805
5700,2.5477552938461305
5750,2.5386848926544188
5800,2.5452223300933836
5850,2.532854733467102
5900,2.5442194509506226
5950,2.5382872009277344
6000,2.5414372205734255
6050,2.5394767475128175
6100,2.5381231021881105
6150,2.5426506280899046
6200,2.5398867177963256
6250,2.5407240438461303
6300,2.5415291833877562
6350,2.534650297164917
6400,2.5441505765914916
6450,2.540063805580139
6500,2.536138892173767
6550,2.5396324586868286
6600,2.535990424156189
6650,2.5377866935729982
6700,2.5336222410202027
6750,2.5425764989852904
6800,2.538587045669556
6850,2.545305767059326
6900,2.534567942619324
6950,2.528897137641907
7000,2.537185716629028
7050,2.535395426750183
7100,2.5353851461410524
7150,2.534830756187439
7200,2.5369387435913087
7250,2.5367285919189455
7300,2.5319853019714356
7350,2.530894718170166
7400,2.5322417306900022
7450,2.5334609603881835
7500,2.533998556137085
7550,2.527670159339905
7600,2.5346061897277834
7650,2.5273516464233396
7700,2.5304899263381957
7750,2.5282407093048094
7800,2.5285249853134157
7850,2.532961535453796
7900,2.5306453609466555
7950,2.5207332134246827
8000,2.5347382736206057
8050,2.533868684768677
8100,2.5273512601852417
8150,2.5311200618743896
8200,2.531136531829834
8250,2.533828239440918
8300,2.5328463459014894
8350,2.5241689825057985
8400,2.528042130470276
8450,2.5237087297439573
8500,2.5235867166519164
8550,2.5272904920578
8600,2.528878049850464
8650,2.524189200401306
8700,2.5262584257125855
8750,2.523194489479065
8800,2.5281790351867675
8850,2.5194542694091795
8900,2.5295820093154906
8950,2.5247026109695434
9000,2.529318480491638
9050,2.527251968383789
9100,2.525555520057678
9150,2.5253790426254272
9200,2.534320363998413
9250,2.528705148696899
9300,2.522085008621216
9350,2.521620707511902
9400,2.5328321743011473
9450,2.5293809747695923
9500,2.5305013465881347
9550,2.530040144920349
9600,2.5217533111572266
9650,2.5334418630599975
9700,2.5252503299713136
9750,2.527951550483704
9800,2.530621395111084
9850,2.5282417249679567
9900,2.5287460136413573
9950,2.523993716239929
10000,2.5229178142547606
10050,2.532416749000549
10100,2.5342069053649903
10150,2.5215167951583863
10200,2.524197778701782
10250,2.5270231199264526
10300,2.525628743171692
10350,2.523270106315613
10400,2.5314497804641722
10450,2.5289708280563357
10500,2.5256241226196288
10550,2.528525643348694
10600,2.5282051610946654
10650,2.530022678375244
10700,2.530361366271973
10750,2.5285496854782106
10800,2.5310569858551024
10850,2.5312721300125123
10900,2.5319427633285523
10950,2.52938307762146
11000,2.5332563972473143
11050,2.5276964330673217
11100,2.526163110733032
11150,2.531975121498108
11200,2.5264266443252565
11250,2.5270226335525514
11300,2.529247031211853
11350,2.5239977979660035
11400,2.526470880508423
11450,2.529589128494263
11500,2.527787470817566
11550,2.529582085609436
11600,2.5300420570373534
11650,2.5310386085510252
11700,2.5242010068893435
11750,2.5333566904067992
11800,2.5288593339920045
11850,2.528644552230835
11900,2.528476958274841
11950,2.5324734115600585
12000,2.523533220291138
12050,2.5289625930786133
12100,2.5249024057388305
12150,2.5278917741775513
12200,2.5296283197402953
12250,2.523550796508789
12300,2.5311967754364013
12350,2.523142867088318
12400,2.5265407276153566
12450,2.5306094884872437
12500,2.5246300745010375
12550,2.5224999380111695
12600,2.5219408750534056
12650,2.52913688659668
12700,2.5164733791351317
12750,2.529109892845154
12800,2.525131244659424
